service_approval_number, date_approval_granted, geocode_level, trading_name, provider_approval_number, state, postcode, conditions, legal_name, suburb, address, ogc_fid, longitude, latitude
null,"29 Dec 2011","Locality",null,"PR-00001390","VIC",3142,null,"Brookville Kindergarten Inc","TOORAK","Brookville Kindergarten ",452,145.0190242,-37.8432402
null,"29 Dec 2011","Locality",null,"PR-00001630","VIC",3143,null,"Lauriston Girls School","ARMADALE","Lauriston Girls School",453,145.0190242,-37.857253
null,"13 Jan 2014","Locality","Tree House Early Learning Richmond","PR-40001265","VIC",3143,null,"SLK Trading Richmond Pty Ltd","ARMADALE","Tree House Early Learning Richmond",454,145.0190242,-37.857253
null,"07 Dec 2016","Locality","Explorers Early Learning - Armadale","PR-40009341","VIC",3143,null,"SLK TRADING ARMADALE PTY LTD","ARMADALE","Explorers Early Learning - Armadale",455,145.0190242,-37.857253
null,"23 Sep 2015","Locality",null,"PR-40005408","VIC",3143,null,"SLK TRADING POINT COOK PTY LTD","ARMADALE","SLK TRADING POINT COOK  ",456,145.0190242,-37.857253
null,"29 Dec 2011","Locality","Explorers Early Learning - Maidstone","PR-00002312","VIC",3143,null,"SLK TRADING MAIDSTONE PTY LTD","ARMADALE","Explorers Early Learning - Maidstone",457,145.0190242,-37.857253
null,"23 Apr 2012","Locality",null,"PR-00002048","VIC",3101,null,"Rodleen Enterprises Pty Ltd and Dynamik Nominees Pty Ltd ATF Rudd Gallagher Trust","KEW","102 PRESS STREET ",458,145.0328017,-37.803516
null,"29 Dec 2011","Locality",null,"PR-00001424","VIC",3938,null,"Chrissy's Kindergarten & Early Learning Centre Pty Ltd","MCCRAE","Chrissy's Kindergarten & Early Learning Centre  ",459,144.9336544,-38.3562816
null,"29 Dec 2011","Locality",null,"PR-00002600","VIC",3076,null,"KW 5 Star Kids Services Pty Ltd","EPPING","KW 5 Star Kids Services  ",460,145.016269,-37.6341341
null,"29 Dec 2011","Locality",null,"PR-00001509","VIC",3076,null,"Epping North Kindergarten Inc","EPPING","Epping North Kindergarten ",461,145.016269,-37.6341341
null,"03 Aug 2015","Locality",null,"PR-40003206","VIC",3429,null,"DISTINCTIVE OPTIONS LTD","SUNBURY","DISTTIVE OPTIONS ",474,144.713889,-37.581111
null,"16 Feb 2015","Locality","Australian Vietnamese Womens Association","PR-40001915","VIC",3121,null,"Australian Vietnamese Womens Association","RICHMOND NORTH","Australian Vietnamese Womens ",478,144.998,-37.823
null,"30 May 2016","Locality","Wyndham Vale Montessori Centre","PR-40006652","VIC",3151,null,"Sunnyside Early Learning Centre Pty Ltd ATF Montessori Unit Trust","BURWOOD EAST","Wyndham Vale Montessori Centre",479,145.1513801,-37.8552869
null,"27 Apr 2016","Locality","Maddingley Montessori Centre","PR-40006676","VIC",3151,null,"Maddingley Montessori Centre Pty Ltd as trustee for Maddingley Montessori Centre Unit Trust","BURWOOD EAST","Maddingley Montessori Centre",480,145.1513801,-37.8552869
null,"29 Dec 2011","Locality",null,"PR-00002974","VIC",3225,null,"Queenscliff Primary School Council","QUEENSCLIFF","Queenscliff Primary School Council",483,144.6286897,-38.2677746
null,"29 Dec 2011","Locality",null,"PR-00001578","VIC",3047,null,"Hume City Council","DALLAS","Hume City Council",485,144.94,-37.668
null,"29 Dec 2011","Locality",null,"PR-00003079","VIC",3047,null,"Northern Schools Early Years Cluster Inc.","DALLAS","Northern Schools Early Years Cluster .",486,144.94,-37.668
null,"29 Dec 2011","Locality",null,"PR-00002136","VIC",3047,null,"Dallas Brooks Community Primary School Council","DALLAS","Dallas Brooks Community Primary School Council",487,144.94,-37.668
null,"29 Dec 2011","Locality",null,"PR-00002325","VIC",3047,null,"Sirius College","DALLAS","Sirius College",488,144.94,-37.668
null,"29 Dec 2011","Locality",null,"PR-00002713","VIC",3030,null,"South West Training Services Pty Ltd","WERRIBEE","South West Training Services  ",492,144.664,-37.9
null,"29 Dec 2011","Locality",null,"PR-00002698","VIC",3030,null,"Cambridge Primary School","WERRIBEE","Cambridge Primary School",493,144.664,-37.9
null,"29 Dec 2011","Locality",null,"PR-00001872","VIC",3030,null,"The Westbourne Education Services Ltd","WERRIBEE","The Westbourne Education Services ",494,144.664,-37.9
null,"29 Dec 2011","Locality",null,"PR-00001929","VIC",3030,null,"Wyndham City Council","WERRIBEE","Wyndham City Council",495,144.664,-37.9
null,"29 Dec 2011","Locality",null,"PR-00001377","VIC",3128,null,"Box Hill South Preschool Inc","BOX HILL SOUTH","ROTARY COURT ",525,145.124,-37.836
null,"29 Dec 2011","Locality",null,"PR-00002995","VIC",3084,null,"Arthurton Investments Pty Ltd as Trustee for the Arthurton Investments Trust","EAGLEMONT","Arthurton Investments   as Trustee for the Arthurton Investments Trust",530,145.066,-37.763
null,"15 Jan 2015","Locality",null,"PR-40002637","VIC",3055,null,"KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST","MOONEE VALE","KELLY CLUB AUSTRALIA   ATF KELLY CLUB AUSTRALIA UNIT TRUST",531,144.9419122,-37.761
null,"29 Feb 2012","Locality","S & S Coleman Pty Ltd atf S and S Family Trust","PR-00006496","VIC",3055,null,"S & S Coleman Pty Ltd atf S and S Family Trust","MOONEE VALE","S & S Coleman   atf S and S Family Trust",532,144.9419122,-37.761
null,"29 Dec 2011","Locality",null,"PR-00002624","VIC",3201,null,"Robert I Fernandez Pty Ltd ATF The Moira B Fernandez Family Trust","CARRUM DOWNS","Robert I Fernandez   ATF The Moira B Fernandez Family Trust",614,145.1706992,-38.0975353
null,"29 Dec 2011","Locality",null,"PR-00002406","VIC",3201,null,"Kids Paradise Childcare Pty Ltd  ATF The Kids Paradise Child Care Trust","CARRUM DOWNS","2 - 6 FULMAR ST ",615,145.1706992,-38.0975353
null,"29 Dec 2011","Locality",null,"PR-00002849","VIC",3201,null,"Rowellyn Park Primary School Council","CARRUM DOWNS","Rowellyn Park Primary School Council",616,145.1706992,-38.0975353
null,"29 Dec 2011","Locality",null,"PR-00002737","VIC",3204,null,"Ormond Primary School Out of School Hours Care","BENTLEIGH","Ormond Primary School Out of School Hours Care",804,145.036,-37.922
null,"29 Dec 2011","Locality",null,"PR-00002465","VIC",3165,null,"Beis Menachem Community Centre Inc","BENTLEIGH EAST","13 - 17 CECIL ST ",805,145.0658766,-37.9174873
null,"29 Dec 2011","Locality",null,"PR-00002258","VIC",3195,null,"Chainbridge Pty Ltd as Trustee for The Chainbridge Unit Trust","MORDIALLOC","5 HALLMARK ROAD ",809,145.092,-37.999
null,"29 Dec 2011","Locality",null,"PR-00002916","VIC",3013,null,"Wembley Primary School","YARRAVILLE","32 ST LEONARDS AVE ",810,144.8813738,-37.819811
null,"29 Dec 2011","Locality",null,"PR-00002680","VIC",3013,null,"Yarraville West Primary School","YARRAVILLE","14 - 30 POWELL STREET ",811,144.8813738,-37.819811
null,"29 Dec 2011","Locality",null,"PR-00002190","VIC",3042,null,"Kazzico Pty Ltd","NIDDRIE","Kazzico  ",823,144.886,-37.745
null,"29 Dec 2011","Locality",null,"PR-00002372","VIC",3206,null,"Childrens Garden Kindercare Pty Ltd","ALBERT PARK","Childrens Garden Kindercare  ",829,144.95,-37.842
null,"29 Dec 2011","Locality",null,"PR-00002785","VIC",3068,null,"Merri Creek Primary School","FITZROY NORTH","MILLER STREET ",992,144.986,-37.784
null,"29 Dec 2011","Locality",null,"PR-00001465","VIC",3023,null,"Deer Park Children's Community Centre Inc","DEER PARK","3 HUME STREET ",1036,144.767,-37.763
null,"29 Dec 2011","Locality",null,"PR-00001891","VIC",3084,null,"View Bank Preschool Association Inc","VIEWBANK","CNR LYON RD & DUFF PDE ",1042,145.1,-37.731
null,"29 Dec 2011","Locality",null,"PR-00002678","VIC",3802,null,"James Cook Primary School","ENDEAVOUR HILLS","29 - 59 JAMES COOK DRIVE ",1046,145.2590707,-37.9780214
null,"29 Dec 2011","Locality",null,"PR-00002913","VIC",3163,null,"Murrumbeena Primary School OSHC","MURRUMBEENA","10 HOBART ROAD ",1047,145.072,-37.899
null,"29 Dec 2011","Locality",null,"PR-00003029","VIC",3107,null,"Templestowe Valley Primary School Council","TEMPLESTOWE LOWER","15 BIRCHWOOD AVENUE ",1049,145.1099967,-37.7641408
null,"29 Dec 2011","Locality",null,"PR-00001748","VIC",3029,null,"Point Cook Kindergarten Inc","HOPPERS CROSSING","Point Cook Kindergarten ",1051,144.693,-37.869
null,"19 Dec 2012","Locality","SAVE THE CHILDREN AUSTRALIA","PR-40000234","VIC",3065,null,"The Trustee for SAVE THE CHILDREN AUSTRALIA TRUST","FITZROY","SAVE THE CHILDREN AUSTRALIA",1069,144.9804594,-37.7974551
null,"29 Dec 2011","Locality",null,"PR-00001792","VIC",3065,null,"Save the Children Australia","FITZROY","Save the Children Australia",1070,144.9804594,-37.7974551
null,"29 Dec 2011","Locality",null,"PR-00001563","VIC",3915,null,"Hastings Preschool Kindergarten Inc","HASTINGS","Hastings Preschool Kindergarten ",1072,145.189,-38.306
null,"29 Dec 2011","Locality",null,"PR-00001507","VIC",3782,null,"Emerald Community House Inc","EMERALD","Emerald Community House ",1073,145.436944,-37.933056
null,"12 Aug 2013","Locality","TMB Trading Pty Ltd","PR-40000384","VIC",3977,null,"TBM TRAINING PTY LTD","CRANBOURNE","TMB Trading  ",1076,145.279,-38.105
null,"10 Sep 2013","Locality","Shooting Stars Early Learning For Life Child Care Centre","PR-40001018","VIC",3977,null,"The Trustee for the Holman Trust","CRANBOURNE NORTH","8 ELIZABETH ST ",1077,145.291,-38.07
null,"29 Dec 2011","Locality",null,"PR-00002116","VIC",3977,null,"Merinda Park Community Centre Inc","CRANBOURNE NORTH","Merinda Park Community Centre ",1078,145.291,-38.07
null,"29 Dec 2011","Locality",null,"PR-00001308","VIC",3977,null,"Kidz R Kidz Pty Ltd","CRANBOURNE NORTH","30 STIRLING AVENUE ",1079,145.291,-38.07
null,"29 Dec 2011","Locality",null,"PR-00002855","VIC",3765,null,"Billanook Primary School","MONTROSE","Billanook Primary School",1082,145.353065,-37.8083883
null,"29 Dec 2011","Locality",null,"PR-00002419","VIC",3807,null,"Hillcrest Christian College (Vic) Inc","BEACONSFIELD","Hillcrest Christian College (Vic) ",1085,145.371,-38.049
null,"29 Dec 2011","Locality",null,"PR-00001353","VIC",3807,null,"Beaconsfield Kindergarten Inc","BEACONSFIELD","Beaconsfield Kindergarten ",1086,145.371,-38.049
null,"18 Mar 2015","Locality","Crest Education","PR-40003107","VIC",3807,null,"CREST EDUCATION LTD","BEACONSFIELD","Crest Education",1087,145.371,-38.049
null,"29 Dec 2011","Locality",null,"PR-00002336","VIC",3139,null,"Maurbre PTY. LTD. As Trustee For King Family Trust.","SEVILLE","Maurbre . . As Trustee For King Family Trust.",1088,145.461,-37.777
null,"30 Apr 2014","Locality",null,"PR-40001864","NSW",1481,null,"HAYAT BUSINESS SERVICES PTY. LTD.","HURSTVILLE BC","HAYAT BUSINESS SERVICES . .",1089,144.9573434,-37.6845564
null,"13 Nov 2015","Locality",null,"PR-40004514","NSW",1481,null,"Anglican Schools Corporation","HURSTVILLE BC","Anglican Schools Corporation",1090,144.9573434,-37.6845564
null,"01 Sep 2009","Locality","Georges River Council","PR-00005138","NSW",1481,null,"Georges River Council","HURSTVILLE BC","Georges River Council",1091,144.9573434,-37.6845564
null,"15 Oct 2014","Locality","KIDZ CORNER PTY LTD","PR-40002562","NSW",1481,null,"KIDZ CORNER HURSTVILLE PTY LTD","HURSTVILLE BC","KIDZ CORNER  ",1092,144.9573434,-37.6845564
null,"19 Dec 2013","Locality","Bluefit Leisure PTY LTD","PR-00007050","NSW",1481,null,"Bluefit Pty Ltd","HURSTVILLE BC","Bluefit Leisure  ",1093,144.9573434,-37.6845564
null,"30 Jan 2015","Locality","Flinders Christian Community College","PR-40002503","VIC",3913,null,"FLINDERS CHRISTIAN COMMUNITY COLLEGE INC","TYABB","Flinders Christian Community College",1094,145.1706992,-38.2651079
null,"29 Dec 2011","Locality",null,"PR-00002985","VIC",3178,null,"Rowville Aftercare Program Inc","ROWVILLE","Rowville Aftercare Program ",1097,145.2424941,-37.9210442
null,"29 Dec 2011","Locality",null,"PR-00002955","VIC",3796,null,"Mount Evelyn Primary School Council","MOUNT EVELYN","Mount Evelyn Primary School Council",1098,145.3917982,-37.7791563
null,"29 Dec 2011","Locality",null,"PR-00001695","VIC",3796,null,"Mount Evelyn Memorial Preschool Inc","MOUNT EVELYN","Mount Evelyn Memorial Preschool ",1099,145.3917982,-37.7791563
null,"16 Aug 2012","Locality","Mount Evelyn Christian School","PR-00006757","VIC",3796,null,"Association for Christian Education Mount Evelyn Inc","MOUNT EVELYN","135 YORK ROAD ",1100,145.3917982,-37.7791563
null,"29 Dec 2011","Locality",null,"PR-00002577","VIC",3805,null,"Casey City Church Inc","FOUNTAIN GATE","Casey City Church ",1101,145.3038674,-38.0180142
null,"26 Feb 2013","Locality","Hippity Hop Childcare","PR-40000136","VIC",3805,null,"HIP HOP PTY. LTD.","FOUNTAIN GATE","Hippity Hop Childcare",1102,145.3038674,-38.0180142
null,"29 Dec 2011","Locality",null,"PR-00002956","VIC",3136,null,"Croydon Primary School","CROYDON","Croydon Primary School",1106,145.281,-37.796
null,"29 Dec 2011","Locality",null,"PR-00002843","VIC",3136,null,"Ruskin Park Primary School Council","CROYDON","Ruskin Park Primary School Council",1107,145.281,-37.796
null,"29 Dec 2011","Locality",null,"PR-00002011","VIC",3136,null,"Lilydale Community Child Care Inc","CROYDON","12 - 50 NORTON ROAD ",1108,145.281,-37.796
null,"29 Dec 2011","Locality",null,"PR-00002058","VIC",3136,null,"St John's Kindergarten Committee Croydon Inc","CROYDON","9 TOORAK AVENUE ",1109,145.281,-37.796
null,"29 Dec 2011","Locality",null,"PR-00001382","VIC",3136,null,"Brentwood Park Kindergarten Inc","CROYDON","Brentwood Park Kindergarten ",1110,145.281,-37.796
null,"29 Dec 2011","Locality",null,"PR-00001446","VIC",3136,null,"Croydon Central Kindergarten Inc","CROYDON","Croydon Central Kindergarten ",1111,145.281,-37.796
null,"19 Apr 2012","Locality","Rosebud Primary School","PR-00006621","VIC",3930,null,"Rosebud Primary School","ROSEBUD","Rosebud Primary School",1112,145.0879338,-38.1952209
null,"30 Apr 2013","Locality","Little Grasshoppers (Emamosa)","PR-40000565","VIC",3931,null,"LITTLE GRASSHOPPERS (ERAMOSA) PTY LTD","MORNINGTON","Little Grasshoppers (Emamosa)",1113,145.0603633,-38.2277083
null,"29 Dec 2011","Locality",null,"PR-00001781","VIC",3939,null,"Rosebud Kindergarten Inc","ROSEBUD","Rosebud Kindergarten ",1117,144.918,-38.356
null,"29 Dec 2011","Locality",null,"PR-00002590","VIC",3939,null,"WTM Holdings PTY LTD","ROSEBUD","WTM Holdings  ",1118,144.918,-38.356
null,"29 Dec 2011","Locality",null,"PR-00001775","VIC",3198,null,"Riviera Preschool Centre Inc","SEAFORD","31A NEWTON STREET ",1120,145.1431018,-38.1021858
null,"29 Dec 2011","Locality",null,"PR-00001593","VIC",3198,null,"Kananook Preschool Inc","SEAFORD","6 BUNA AVENUE ",1121,145.1431018,-38.1021858
null,"08 Jan 2016","Locality","Aldercourt Primary School","PR-40006018","VIC",3198,null,"Aldercourt Primary School","SEAFORD","Aldercourt Primary School",1122,145.1431018,-38.1021858
null,"29 Dec 2011","Locality",null,"PR-00001794","VIC",3198,null,"Seaford Heights Preschool Assoc Inc","SEAFORD","Seaford Heights Preschool Assoc ",1123,145.1431018,-38.1021858
null,"29 Dec 2011","Locality",null,"PR-00002311","VIC",3130,null,"Aurora School Council","BLACKBURN SOUTH","96 HOLLAND ROAD ",1124,145.144,-37.838
null,"07 Apr 2014","Locality","True Maple Bilingual early learning centre","PR-40001756","VIC",3130,null,"TRUE MAPLE LEARNING PTY LTD","BLACKBURN SOUTH","20 RICHMOND ST ",1125,145.144,-37.838
null,"29 Dec 2011","Locality",null,"PR-00002100","VIC",3131,null,"Whitehorse Primary School Council","BLACKBURN NORTH","70 - 86 JUNCTION ROAD ",1126,145.152,-37.81
null,"04 Mar 2015","Locality",null,"PR-40003101","VIC",3095,null,"THE ELTHAM COLLEGE FOUNDATION LIMITED","ELTHAM","THE ELTHAM COLLEGE FOUNDATION ",1127,145.158,-37.715
null,"29 Dec 2011","Locality",null,"PR-00002693","VIC",3095,null,"Eltham East Primary School Council","ELTHAM","Eltham East Primary School Council",1128,145.158,-37.715
null,"29 Dec 2011","Locality",null,"PR-00002551","VIC",3095,null,"Melbourne City School","ELTHAM","Melbourne City School",1129,145.158,-37.715
null,"29 Dec 2011","Locality",null,"PR-00001502","VIC",3095,null,"Eltham College","ELTHAM","Eltham College",1130,145.158,-37.715
null,"12 Feb 2016","Locality",null,"PR-00009209","VIC",3184,null,"Elwood St.Kilda Neighbourhood Learning Centre Inc","ELWOOD","Elwood St.Kilda Neighbourhood Learning Centre ",1131,144.9859676,-37.878722
null,"24 Jul 2014","Locality",null,"PR-40002170","VIC",3184,null,"Little Chiefs Holdings Pty Ltd","ELWOOD","Little Chiefs Holdings  ",1132,144.9859676,-37.878722
null,"29 Dec 2011","Locality",null,"PR-00001620","VIC",3184,null,"Lady Forster Kindergarten Inc","ELWOOD","Lady Forster Kindergarten ",1133,144.9859676,-37.878722
null,"04 Sep 2013","Locality","Our Learning Steps Childcare Centre and Kindergarten","PR-40000864","VIC",3196,null,"Sproson Nominees Pty Ltd ATF Sproson-Colliver Unit Trust","CHELSEA","Our Learning Steps Childcare Centre and Kindergarten",1134,145.121944,-38.051111
null,"29 Dec 2011","Locality",null,"PR-00001766","VIC",3937,null,"Red Hill & District Memorial Preschool Inc","RED HILL","Red Hill & District Memorial Preschool ",1135,145.016,-38.355
null,"23 Feb 2017","Locality","Platypus Junction Langwarrin Pty Ltd","PR-40009950","VIC",3186,null,"Platypus Junction Langwarrin Pty Ltd ATF Platypus Junction Langwarrin Trust","BRIGHTON NORTH","Platypus Junction Langwarrin  ",1137,144.9997396,-37.9044002
null,"16 Apr 2012","Locality","Boneo Primary School","PR-00006642","VIC",3941,null,"Boneo Primary School","RYE","Boneo Primary School",1138,144.838,-38.377
null,"29 Dec 2011","Locality",null,"PR-00002692","VIC",3941,null,"Rye Primary School Council","RYE","Rye Primary School Council",1139,144.838,-38.377
null,"29 Dec 2011","Locality",null,"PR-00002500","VIC",3095,null,"Little Scooters Pty Ltd","RESEARCH","Little Scooters  ",1140,145.18,-37.707
null,"29 Dec 2011","Locality",null,"PR-00001705","VIC",3163,null,"Murrumbeena Kindergarten Inc","CARNEGIE","Murrumbeena Kindergarten ",1142,145.062,-37.888
null,"29 Dec 2011","Locality",null,"PR-00001326","VIC",3123,null,"Auburn Kindergarten & Child Care Centre Inc","HAWTHORN EAST","27 STATION STREET ",1143,145.0520938,-37.8310813
null,"29 Dec 2011","Locality",null,"PR-00002932","VIC",3149,null,"Syndal South Primary School","MOUNT WAVERLEY","14 MONTGOMERY AVE ",1144,145.1265477,-37.8772869
null,"29 Dec 2011","Locality",null,"PR-00002085","VIC",3149,null,"Pantea Pty Ltd","MOUNT WAVERLEY","420 HIGH STREET ROAD ",1145,145.1265477,-37.8772869
null,"29 Dec 2011","Locality",null,"PR-00002148","VIC",3166,null,"The Greek Orthodox Community of Oakleigh & District Inc.","OAKLEIGH","The Greek Orthodox Community of Oakleigh & District .",1146,145.0962067,-37.9020702
null,"26 May 2015","Locality",null,"PR-40002898","VIC",3148,null,"AUSTRALIAN BASKETBALL DIGEST PTY LTD","HOLMESGLEN","AUSTRALIAN BASKETBALL DIGEST  ",1147,145.0989646,-37.8819831
null,"26 Oct 2015","Locality","Pebble Patch ELC","PR-40005595","VIC",3145,null,"Pebble Patch ELC Cranbourne Pty Ltd ATF Pebble Patch ELC Cranbourne Trust","MALVERN EAST","Pebble Patch ELC",1148,145.06,-37.878
null,"26 Oct 2015","Locality","Little Learning Patch","PR-40005615","VIC",3145,null,"Little Learning Patch Cranbourne Pty Ltd ATF Little Learning Patch Cranbourne Trust","MALVERN EAST","Little Learning Patch",1149,145.06,-37.878
